T,RGRFx,RGRFy,RGRFz,RGRTx,RGRTy,RGRTz,LGRFx,LGRFy,LGRFz,LGRTx,LGRTy,LGRTz
90.54,0,0,0,-0,-0,0,-0,0,0,-0,0,0
90.56,0,0,0,-0,-0,0,-0,0,0,-0,0,0
90.58,0,0,0,-0,0,-0,-0,0,0,-0,0,-0
90.6,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.62,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.64,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.66,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.68,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.7,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.72,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.74,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.76,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.78,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.8,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
90.82,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
90.84,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
90.86,0,0,-0,0,-0,0,0,0,-0,0,-0,0
90.88,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
90.9,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
90.92,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
90.94,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
90.96,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
90.98,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.02,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.04,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.06,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.08,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.1,0,0,0,-0,-0,0,-0,0,0,-0,0,0
91.12,0,0,0,-0,-0,0,-0,0,0,-0,0,0
91.14,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
91.16,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.18,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.2,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.22,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.24,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.26,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.28,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.3,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.32,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.34,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.36,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.38,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
91.4,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
91.42,0,0,-0,0,-0,0,0,0,-0,0,-0,0
91.44,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.46,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.48,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.5,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.52,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.54,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.56,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.58,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.6,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.62,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.64,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
91.66,0,0,0,-0,-0,0,-0,0,0,-0,0,0
91.68,0,0,0,-0,-0,0,-0,0,0,-0,0,0
91.7,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
91.72,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.74,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.76,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.78,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.8,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.82,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.84,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.86,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.88,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.9,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
91.92,-0,0,-0,0,0,-0,0,0,0,0,0,-0
91.94,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
91.96,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
91.98,0,0,-0,0,-0,0,0,0,-0,0,-0,0
92,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.02,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.04,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.06,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.08,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.1,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.12,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.14,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.16,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.18,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.2,0,0,0,-0,-0,0,-0,0,-0,-0,0,0
92.22,0,0,0,-0,-0,0,-0,0,0,-0,0,0
92.24,0,0,0,-0,-0,0,-0,0,0,-0,0,0
92.26,-0,0,-0,-0,0,-0,-0,0,0,-0,0,-0
92.28,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.3,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.32,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.34,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.36,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.38,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.4,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.42,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.44,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.46,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.48,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
92.5,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
92.52,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
92.54,0,0,0,0,-0,0,0,0,-0,0,-0,0
92.56,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.58,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.6,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.62,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.64,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.66,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.68,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.7,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.72,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.74,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
92.76,0,0,0,-0,-0,0,-0,0,0,-0,0,0
92.78,0,0,0,-0,-0,0,-0,0,0,-0,0,0
92.8,0,0,0,-0,-0,0,-0,0,0,-0,0,0
92.82,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.84,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.86,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.88,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.9,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.92,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.94,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.96,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
92.98,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.02,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.04,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
93.06,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
93.08,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
93.1,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.12,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.14,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.16,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.18,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.2,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.22,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.24,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.26,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.28,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.3,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.32,0,0,0,-0,-0,0,-0,0,0,-0,0,0
93.34,0,0,0,-0,-0,0,-0,0,0,-0,0,0
93.36,0,0,0,-0,-0,0,-0,0,0,-0,0,0
93.38,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.4,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.42,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.44,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.46,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.48,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.5,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.52,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.54,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.56,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.58,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.6,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
93.62,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
93.64,-0,0,-0,0,0,0,0,0,-0,0,-0,0
93.66,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.68,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.7,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.72,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.74,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.76,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.78,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.8,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.82,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.84,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.86,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
93.88,0,0,0,-0,-0,0,-0,0,0,-0,0,0
93.9,0,0,0,-0,-0,0,-0,0,0,-0,0,0
93.92,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
93.94,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.96,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
93.98,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.02,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.04,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.06,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.08,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.1,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.12,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.14,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.16,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
94.18,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
94.2,0,0,-0,0,-0,0,0,0,-0,0,-0,0
94.22,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.24,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.26,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.28,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.3,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.32,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.34,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.36,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.38,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.4,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.42,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.44,0,0,0,-0,-0,0,-0,0,0,-0,0,0
94.46,0,0,0,-0,-0,0,-0,0,0,-0,0,0
94.48,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
94.5,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.52,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.54,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.56,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.58,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.6,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.62,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.64,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.66,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.68,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.7,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
94.72,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
94.74,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
94.76,0,0,-0,0,-0,0,0,0,-0,0,-0,0
94.78,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.8,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.82,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.84,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.86,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.88,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.9,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.92,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.94,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.96,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
94.98,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95,0,0,0,-0,-0,0,-0,0,0,-0,0,0
95.02,0,0,0,-0,-0,0,-0,0,0,-0,0,0
95.04,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
95.06,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.08,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.1,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.12,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.14,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.16,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.18,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.2,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.22,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.24,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.26,-0,0,-0,0,0,-0,0,0,0,0,-0,-0
95.28,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
95.3,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
95.32,0,0,-0,0,-0,0,0,0,-0,0,-0,0
95.34,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.36,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.38,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.4,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.42,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.44,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.46,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.48,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.5,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.52,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.54,0,0,0,-0,-0,0,-0,0,0,-0,0,0
95.56,0,0,0,-0,-0,0,-0,0,0,-0,0,0
95.58,0,0,0,-0,-0,0,-0,0,0,-0,0,0
95.6,-0,0,-0,-0,0,-0,-0,0,0,-0,0,-0
95.62,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.64,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.66,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.68,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.7,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.72,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.74,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.76,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.78,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.8,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
95.82,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
95.84,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
95.86,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
95.88,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.9,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.92,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.94,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.96,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
95.98,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.02,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.04,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.06,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.08,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.1,0,0,0,-0,-0,0,-0,0,0,-0,0,0
96.12,0,0,0,-0,-0,0,-0,0,0,-0,0,0
96.14,0,0,0,-0,-0,0,-0,0,0,-0,0,0
96.16,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.18,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.2,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.22,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.24,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.26,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.28,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.3,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.32,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.34,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.36,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.38,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
96.4,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
96.42,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
96.44,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.46,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.48,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.5,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.52,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.54,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.56,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.58,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.6,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.62,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.64,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
96.66,0,0,0,-0,-0,0,-0,0,0,-0,0,0
96.68,0,0,0,-0,-0,0,-0,0,0,-0,0,0
96.7,0,0,0,-0,-0,-0,-0,0,0,-0,0,-0
96.72,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.74,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.76,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.78,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.8,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.82,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.84,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.86,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.88,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.9,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.92,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
96.94,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
96.96,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
96.98,0,0,-0,0,-0,0,0,0,-0,0,-0,0
97,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.02,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.04,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.06,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.08,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.1,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.12,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.14,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.16,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.18,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.2,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.22,0,0,0,-0,-0,0,-0,0,0,-0,0,0
97.24,0,0,0,-0,-0,0,-0,0,0,-0,0,0
97.26,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
97.28,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.3,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.32,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.34,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.36,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.38,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.4,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.42,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.44,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.46,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.48,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.5,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
97.52,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
97.54,0,0,-0,0,-0,0,0,0,-0,0,-0,0
97.56,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.58,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.6,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.62,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.64,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.66,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.68,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.7,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.72,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.74,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.76,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
97.78,0,0,0,-0,-0,0,-0,0,0,-0,0,0
97.8,0,0,0,-0,-0,0,-0,0,0,-0,0,0
97.82,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
97.84,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.86,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.88,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.9,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.92,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.94,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.96,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
97.98,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.02,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.04,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.06,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
98.08,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
98.1,0,0,-0,0,-0,0,0,0,-0,0,-0,0
98.12,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.14,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.16,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.18,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.2,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.22,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.24,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.26,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.28,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.3,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.32,0,0,0,-0,-0,0,-0,0,-0,-0,-0,0
98.34,0,0,0,-0,-0,0,-0,0,0,-0,0,0
98.36,0,0,0,-0,-0,0,-0,0,0,-0,0,0
98.38,-0,0,0,-0,0,-0,-0,0,0,-0,0,-0
98.4,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.42,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.44,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.46,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.48,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.5,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.52,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.54,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.56,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.58,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.6,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
98.62,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
98.64,-0,0,-0,0,0,-0,0,0,-0,0,-0,-0
98.66,0,0,0,0,-0,0,0,0,-0,0,-0,0
98.68,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.7,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.72,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.74,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.76,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.78,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.8,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.82,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.84,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.86,0,0,0,-0,-0,0,0,0,-0,-0,-0,0
98.88,0,0,0,-0,-0,0,-0,0,0,-0,0,0
98.9,0,0,0,-0,-0,0,-0,0,0,-0,0,0
98.92,0,0,0,-0,-0,0,-0,0,0,-0,0,0
98.94,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
98.96,-0,0,-0,0,0,-0,-0,0,0,0,0,-0
